INFO   | jvm 1    | 2020/11/19 13:17:05 | Caused by: io.mycat.config.util.ConfigException: java.lang.NullPointerException
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:121)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:78)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:82)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.MycatServer.<init>(MycatServer.java:166)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:109)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	... 7 more
INFO   | jvm 1    | 2020/11/19 13:17:05 | Caused by: java.lang.NullPointerException
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.getDbType(XMLSchemaLoader.java:462)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadTables(XMLSchemaLoader.java:384)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadSchemas(XMLSchemaLoader.java:168)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:117)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	... 13 more
STATUS | wrapper  | 2020/11/19 13:17:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:17:43 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:17:44 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:17:44 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:17:44 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
